observation_date,CUUR0000SAN
2007-04-01,193.570
2007-05-01,196.916
2007-06-01,195.749
2007-07-01,194.326
2007-08-01,192.869
2007-09-01,194.616
2007-10-01,195.646
2007-11-01,199.253
2007-12-01,198.422
2008-01-01,199.346
2008-02-01,200.030
2008-03-01,203.767
2008-04-01,207.096
2008-05-01,211.240
2008-06-01,214.783
2008-07-01,215.628
2008-08-01,212.882
2008-09-01,213.274
2008-10-01,207.435
2008-11-01,195.773
2008-12-01,189.557
2009-01-01,190.649
2009-02-01,192.943
2009-03-01,194.105
2009-04-01,195.864
2009-05-01,197.673
2009-06-01,201.461
2009-07-01,199.746
2009-08-01,201.191
2009-09-01,201.783
2009-10-01,202.058
2009-11-01,203.035
2009-12-01,202.064
2010-01-01,203.588
2010-02-01,203.219
2010-03-01,205.409
2010-04-01,206.393
2010-05-01,206.391
2010-06-01,204.157
2010-07-01,203.471
2010-08-01,204.111
2010-09-01,204.920
2010-10-01,206.518
2010-11-01,207.053
2010-12-01,208.028
2011-01-01,210.205
2011-02-01,212.056
2011-03-01,217.791
2011-04-01,221.504
2011-05-01,223.413
2011-06-01,220.611
2011-07-01,219.979
2011-08-01,220.958
2011-09-01,222.036
2011-10-01,221.035
2011-11-01,220.592
2011-12-01,218.411
2012-01-01,220.325
2012-02-01,222.634
2012-03-01,227.039
2012-04-01,228.190
2012-05-01,226.283
2012-06-01,223.115
2012-07-01,221.463
2012-08-01,224.939
2012-09-01,227.913
2012-10-01,227.788
2012-11-01,224.101
2012-12-01,221.668
